id,科目,章,問題種別,年度,問題番号,曜日グループ,問題文,解答,解説
159,生保1,7,中問,,,2,"⑨(41) 医療保険の予定発生率設定および商品販売開始後のフォローアップについて、次の問いに答えなさい。
①医療保険の開発時において、予定発生率作成に用いる基礎データとして、自社データを用いる場合と公共データを用いる場合がある。自社データを用いる場合のメリット・デメリットを、公共データを用いる場合と比較して、簡潔に説明しなさい。
②商品販売開始後のフォローアップの必要性について、簡潔に説明しなさい。","①自社データ・公共データのメリット・デメリット
●自社データのメリット(○)、デメリット(×)
○過去にも同様の保障内容の商品を販売していた場合、自社の査定方法、選択効果、販売チャネル等、個社の状況に基づいた分析を行うことができる。
○公共データに比べて、男女別・年齢別・経過別など詳細なデータを取得できる場合が多い。
×一般的に公共データよりデータ量(母数)が少なく、分析に十分な信頼性が得られない可能性がある。特に定常状態の集団になっていない場合、そのまま用いると過小評価となる。
×過去に類似の商品がない場合は、自社データの使用は困難である。
×基礎データへ逆選択(モラルリスク)の影響が生じる可能性がある。

②商品販売開始後のフォローアップの必要性
・近年、保険商品には、社会の構造的変化・経済活動の多様化等に伴い、国民の生活保障ニーズの高まり新たなリスクの発生など、保険契約者ニーズに対応すべく多様性が求められている。
・こうしたニーズに応え、保険会社が商品開発を行うにあたっては、保険業法等の法令等を踏まえ、自己責任原則に基づき、リスク面、財務面、募集面、法制面等あらゆる観点から検討する内部管理体制の整備が求められる。
・監督指針上においても、商品開発プロセスの中に商品販売開始後のフォローアップを組み込むことが明記されており、適切にフォローアップを行う体制を整備する必要がある。
・特に医療系商品についてはモラルリスクが混入しやすいことや経済・社会動向の影響を受けやすいことなど、死亡保障とは異なる特性を有している。
・また、保障内容も多様化していることから、これまで引き受けた経験のないリスクを引き受ける必要が生じており、適切な予定発生率の検証等を行う必要性は高いと考えられる。
・法令・監督指針において、第三分野ストレステスト・負債十分性テストを行うこととなっており、この観点からも第三分野商品の発生率の事後検証が重視されている。",
160,生保1,4,中問,,,2,⑨(42) 貴社では、通常の危険選択を行う平準払終身保険を販売しているが、マーケットの拡大等を企図し、無選択の平準払終身保険の開発を検討することとなった。当商品の商品設計に関して、アクチュアリーとして留意すべき点を挙げ、所見を述べなさい。ただし、従来の商品を併売する前提とする。,"●初期死亡給付の削減
○とりわけ契約初期においては、通常の選択の被保険者集団より死亡率がかなり高いことが想定される。ニーズも踏まえつつではあるが、契約初期の死亡給付を抑える商品性とすることが考えられる。
○全面的に抑えるわけではなく災害死亡のみに抑えることも考えられる。
●反対給付
○生存給付金や医療等､反対給付と考えられるようなものをセットで組み込み販売することで収支悪化を一定抑えることが考えられる。
●配当
○危険差を有配とすることで一定保守的なプライシングとしつつ､事後精算ができる形とすることが考えられる。
○また、単なる有配当保険ではなく、複数年度を通算して払うなどの設計にすることでより安定的な商品維持を可能にするだろう。
●低解約返戻金
○上記対応等により保険料水準が高くなりすぎる場合は､低解約返戻金タイプとすることで保険料水準を抑えることも策の一つである。
○但し、体況が悪く、一定程度高い保険料水準であっても保険への加入意欲がある群団ということを考慮すると、予定解約率は通常の選択の商品と比較して、低い水準となることが考えられる。
●有期払
○危険保険金を削減する目的で短期の有期払に限定して販売する。この場合、逆に運用リスクを抱えるため、バランスが重要である。
●MVA
○低廉な保険料実現のために金利リスクを契約者に負ってもらうことも考えられる。
○しかしながら、商品が複雑になり、商品自体の存在価値を下げる面もありうるうえ、そもそも現在の低金利環境下で効果があるかなど、導入には慎重になるべきである。
●非対面チャネル専用
○無選択であるため、対面である必要がないメリットを生かし、非対面チャネル専用商品とする。
○この場合、営業職員チャネルとの線引きが明確になる一方、全く被保険者に会わないことで、どのような体況の者が加入してくるか見えなくなるデメリットもある。",
161,生保1,7,中問,,,2,⑨(62) 第三分野保険のストレステストおよび負債十分性テストについて､導入された背景およびそれぞれの概要を簡潔に説明しなさい。,"＜導入された背景＞
●少子高齢化社会が進行するなかで､医療や介護といったいわゆる第三分野保険商品のニーズが高まっている。
●これらの商品は､医療政策等の外的要因や契約者の想定外の行動の影響を受けやすく、
●また日本では終身保障タイプの商品が多いこと等から長期にわたりリスクを負うこととなる。
●第三分野保険商品は､商品内容が多種多様であり、
●十分なデータの蓄積もないことからスタンダードな指標が存在しておらず､公的なデータや各社の実績等から給付事由ごとに発生率を見込まざるを得ない状況となっている。
●このようなことから､保険会社において適切なリスク管理が行われ､将来の債務履行のために必要な水準の責任準備金の積立が可能となるよう､事後的にモニタリングや保険料積立金･危険準備金の十分性の検証等を行っていくこととなった。

＜ストレステスト＞
●毎決算期に､商品ごとにあらかじめ設定した予定事故発生率が十分なリスクをカバーしているかを確認するために実施する。
●テスト実施期間（10年間以上）について、｢通常の予測を超える範囲でリスクをカバー（保険事故発生率に対するリスクの99％をカバー）する水準の将来給付額(A) 」、
●｢通常の予測の範囲でリスクをカバー（保険事故発生率に対するリスクの97.7％をカバー）する水準の将来給付額(B)」を予測し、
●｢予定発生率に墓づく将来給付額(P) 」と比較する。
A、B、Pの大小関係に応じて次のとおり危険準備金を積み立てる。
●P≧A。保険料積立金が十分と判断する。
●A>P≧B=今保険料積立金が不十分として､「A－P｣を危険準備金に積み立てる。
●B>P二保険料積立金が不十分として､「A－B｣を危険準備金に積み立てたうえで､保険料積立金が不足する恐れがあると判断し､負債十分性テストを実施する。
●第三分野保険商品の保障内容やリスクの範囲は多岐にわたっており､商品により異なることから､保険事故発生率の将来予測におけるモデルは､保険会社が合理的に見込む。
●｢保険期間が1年以下の保険契約（更新時に保険料率が変更可能なもの)」、
●｢傷害保険契約その他これに準ずる給付を行う保険契約｣、
●｢保険事故発生率が十分小さい､特約又は主たる給付に付随する給付であり､債務の履行に支障を来たすおそれが極めて低い保険給付｣はストレステストの対象外とする。

＜負債十分性テスト＞
●ストレステストの結果､予め設定した予定発生率では､保険料積立金で対応すべき｢通常の予測の範囲内のリスク（リスクの97.7％）｣に対応できない恐れがある場合は､負債十分性テストによる事後検証を実施する。
●保険料積立金の十分性については､収入支出全体の動向を踏まえ､実質的な不足が生じているかを判断する必要があるため､将来収支分析により検証を行う。
●実績等をもとに将来の収入･支出を推計し､資産が負債である保険料積立金を下回ることがないか確認する（テスト実施期間：10年以上）。
●資産＝保険料積立金としてスタートする。
●将来時点の資産は､実績等から推計した各年の収入･支出をもとに計算｡なお､この際に用いる保険事故発生率は､危険発生率（保険事故発生率が変動することによる保険金の増加を97.7％の確率でカバーする保険事故発生率）を使用。
●将来時点の保険料積立金は予定基礎率をもとに計算する。
●上記をもとに､テスト期間中の事業年度末における資産と保険料積立金の比較を実施する。
●資産が保険料積立金を下回った場合は積立不足と判断し、
●不足額（保険料積立金一資産）の割引現在価値の最大値を追加して責任準備金を積み立てる必要があることを、
●保険計理人の意見害に記載しなければならない。",
162,生保1,7,中問,,,2,⑨(43) 第三分野保険のストレステストおよび負債十分性テストについて、「保険会社向けの総合的な監督指針」に記載されている内容も踏まえ簡潔に説明しなさい。,"【ストレステストの概要】
・毎決算期に、商品毎に予め設定した予定事故発生率が十分なリスクをカバーしているか確認するため実施する。
・テスト実施期間（10年間以上）について、「保険事故発生率に対するリスクの99％をカバーする水準（A）」、「保険事故発生率に対するリスクの97. 7%をカバーする水準（B）」を予測し、［予定発生率に基づく保険金額（P）」と比較する。A, B, Pとの大小関係に応じて次のとおり危険準備金を積み立てた上で負債十分性テストの実施要否が判断される。
　　・　P≧A　　 →保険料積立金が十分と判断。
　　・　A＞P≧B　→保険料積立金が不十分として、「A－P」を危険準備金として積み立てる。
　　・　A＞B＞P　→保険料積立金が不十分として、「A－B」を危険準備金として積み立てる。その上で、保険料積立金が不足する恐れがあると判断し、負債十分性テストを実施。
・保険事故発生率の予測におけるモデル設定は、保険会社が合理的に見込む。

＜負債十分性テスト＞
・ストレステストの結果、予め設定した予定事故発生率では、保険料積立金で対応すべき「通常の予測の範囲内のリスク（リスクの97.7%)」に対応できない恐れがある場合は負債十分性テストによる事後検証を実施する。
・保険料積立金の十分性については、収入支出全体の動向を踏まえ実質的な不足が生じているのかを判断する必要があるため、将来収支分析により検証を行なう。
具体的には
・実績等を基に将来（10年間）の収入・支出を推計し、資産が負債である保険料積立金を下回ることがないか確認。
・基準年度は、資産＝保険料積立金としてスタート。
・保険料積立金（負債）は予定基礎率で計算。
・資産は実績等から推計した各年の収入・支出を利用して計算。ただし保険金等の支出は保険事故発生率に関するリスクの97.7%をカバーする水準を設定。
・保険料積立金を資産が下回った場合は不足と判断し、不足額の現在価値の最大値を基準年度において積み立てる必要があることを意見書に記載。
【監督指針記載内容】
・第三分野保険のストレステストを使用しての危険準備金算出にあたっては、危険準備金算出部門とは別の内部監査部その他の適切な部門と相互牽制機能を確保する態勢が、社内規程等において明確になっているか
＜ストレステスト・負債十分性テスト実施上の留意点＞
・保険事故発生率が悪化する不確実性を適切に考慮したものとなっているか
・原則として基礎率を同じくする契約区分毎に実施する。以下ア・イを満たす場合にはまとめて実施してもよい
　　ア．当該保険契約において、支払事由として規定される給付内容が給付事由及びリスク特性の観点から同等と考えられ、過去のデータ又は統計資料により同等性が確認されていること
　　イ．予定発生率の算出に用いた統計資料が同じであること。
・被保険者数が少なく、統計的な取扱が困難なケースは、下記の取扱も可
　　ア．発売後十分な期間が経過しておらず、ストレステスト又は負債十分性テストにおいて統計的な取扱が困難なケースにおいては、予定発生率の算出に用いた過去の実績又は統計資料を活用することにより、データ不足を補うための適切な保険数理の方法を用いてよい。ただし、この場合にあっても実績データが予定発生率の算出に用いたデータとの間に大きな乖離が無いか検証し、実績データを踏まえた適切な対応を行なう必要がある。
　　イ．新契約の募集を停止し、かつ被保険者数が少なくなったことにより、大数の法則が機能せず、結果として収支相等の原則の適用が困難なときは、当該契約集団の給付額（対象保険金額を必ず支払うものとして算出した額）を負債十分性テストにおける支出見込み額として使用することができる。この場合においては、ストレステスト（危険準備金IVの算出）は適用しないこととする。
・ストレステスト及び負債十分性テストの基礎率を同じくする契約区分は同一とする",
163,生保1,7,中問,,,3,⑩(44) 入院日数に比例した入院給付金を支払う医療保険に関し、翌期以降の入院給付金の支払いに備えて事業年度末に負債の部に積み立てるべき保険契約準備金を列挙しそれぞれ簡潔に説明しなさい。,"○（通常の）支払備金、IBNR備金
　保険業法施行規則では、支払備金として次の2種類の積み立てが必要とされている。
①支払義務が発生しているが、決算期において、まだ支出として計上していない保険金等
②支払事由の発生の報告を受けていないが､支払事由がすでに発生したと認められる保険金等

○（通常の）保険料積立金
・通常、医療保険も標準責任準備金対象契約
・平準純保険料式で計算し、告示に定める基礎率（予定死亡率、予定利率）を使用しなければならない。
・また、負債十分けテストの結果、テスト実施期間（10年間以上）における保険料積立金を資産が下回った場合は積立不足と判断し不足額の現在価値の鏝大値を追加して積み立てる必要がある。

○いわゆる入院責任準備金
・責任準備金の一部として、いわゆる入院責任準備金の積み立てが行われており、「支払事由は発生しているがその請求金額の確定がいまだなされていない」状態を扱っているものである。
・IBNR備金の対象である請求は事業年度内に退院の時期を迎えている状態であるのに対して､いわゆる入院責任準備金の対象となる請求は決算期にまだ入院が継続している状態である。

○末経過保険料
・未経過期間に対応する責任に相当する額として計算した金額を積み立てる必要がある。

○危険準備金
・保険業法施行規則に定める区分に従って、危険準備金を積み立てることが必要であり、第三分野保険の保険リスクは危険準備金Ⅳとして積み立てることとされている。
・なお、ストレステストの対象とするリスクについては、実績の保険事故発生率等に基づきストレステストを実施し、テスト実施期間（10年間以上）の発生率に関するリスクの99％をカバーする水準まで危険準備金Ⅳを積み立てることとされている。",
164,生保1,9,中問,,,3,⑩(45) 保険の目的について、伝統的な目的と非伝統的な目的を列挙せよ。,"＜伝統的な目的＞
①元受会社の保有限度額を超過する額を出再する。
元受会社は自己保有限度額を定めている。保険経営を安定させるために、自己保有限度額は、大数の法則が十分に機能し偶然の変動による収益及び資本への影響を受容できる水準に定められる。一方、会社の最高引受保険金額は、競合上の観点から定められる。この差額を再保険に付すことによって保険金支払いの変動が収益及び資本に与える影響を軽減することが可能となる。

②巨大災害などに起因する保険支払いの集積リスクを移転する。
自己保有限度額の設定により均質でリスク発生が互いに独立した危険集団を形成していても、巨大災害が発生し広範囲に被害が生じた場合は、リスクの独立性は保たれず一時に多額の保険金支払いが発生する可能性がある。巨大災害が発生した場合の集積リスクを移転し、保険経営の安定を図るために、一定額以上の保険金支払いが発生することを再保険事故と定義する再保険契約が活用される。

③経験のない保険引受リスクを移転する。
元受会社は、市場の要請等により、保有したことのない保険引受リスクにさらされることがある。新しい給付を提供する新商品を開発する場合やリスク細分化保険を販売する場合が、典型的な事例である。このような場合、死亡率・発生率は、国民の統計または他の市場で活用されているものを必要に応じ修正して使用することが多い。このようにして作成された死亡率・発生率は、常にミスプライシングの可能性を包含している。このリスクの顕在化が収益及び資本に与える影響を元受会社にとって受容できる範囲内に収まるようにリスクの一定割合を出再することが行われる。

④再保険料率をもとに競争的な元受料率を提供する。
一般的に、再保険会社の提供する再保険料率は、元受会社がプライシングで採用する死亡率・発生率よりも低い。また、条件体の評点についても再保険会社のほうが競争力のある査定を行うことが多い。元受会社では、保険引受リスクを保有する代わりに低廉な再保険料を支払うことにより、顧客に競争的な保険料率を提供することができる。

＜非伝統的な目的＞
①財務諸表の改善
１．新契約費の抑制
２．収益の安定
３．収益認識のタイミングの変更
４．ソルベンシーマージン比率の改善
５．ＲＯＥ・ＩＲＲ等の収益率の向上

②特定のビジネスゴールの達成
１．増資の抑制
２．課税所得の平準化
３．格付けの引上げ・安定
４．円滑な買収
５．円滑な株式会社化",
165,生保1,9,中問,,,3,⑩(46) 危険保険料式再保険及び共同保険式再保険について、それぞれの特徴、移転される保険責任及び活用目的を簡潔に説明せよ。,"＜危険保険料式再保険＞

【特徴】
・元受契約の保険種類に関わらず再保険契約が自動更新一年定期となっている再保険である。
・付保の対象となるのは危険保険金額である。
・単純な仕組みであり、事務管理も容易である。

【移転される保険責任】
・移転される保険責任は、死亡率等の発生率関係に限られる。つまり、責任準備金の積立、解約返戻金・満期保険金の支払、事業費支払等に係る責務は元受会社が留保する。

【活用目的】
・元受会社の保有限度額を超過する額を出再する場合や、条件体契約に対し再保険会社から競争的な評点をの提供を受ける場合に活用される。
・また、非伝統的な目的での活用方法としては、ソルベンシーマージン比率の改善が挙げられる。

＜共同保険式再保険＞

【特徴】
・再保険会社が個々の出再契約に関し元受契約の契約条件と同一の内容で保険責任を引き受ける再保険である。
・再保険会社は、元受会社が収入した営業保険料のうち出再割合に応じた額を再保険料として収受する。また、再保険会社は、出再契約かかるすべての支出に関し元受会社が支払った金額のうち出再割合に応じた額を元受会社に支払う。
・分かりやすい仕組みであるが、事務管理が煩雑である。

【移転される保険責任】
・死亡率等の発生率関係のリスク、投資リスク、解約・失効リスク、事業費支出に係るリスク等、保険契約を保有することに係る全ての保険責任が元受会社から再保険会社に移転される。
・再保険会社は責任準備金の積立、保険金・解約返戻金の支払、事業費支払等に係る責務を出再割合に応じて負担する。

【活用目的】
・一般的に、共同保険式再保険における初年度の出再保険受入手数料は再保険料より多くなる。すなわち、初年度は保険金支払の有無にかかわらず、元受会社は再保険契約によって収益を計上できる。
・資本が十分でない会社、特に設立後間もない会社にとっては、新契約費支出を再保険契約によって緩和することは、効率的な資本配分を検討するために重要な要素となる。
・共同保険式再保険の活用は、会社全体の収益の安定、収益認識のタイミングの早期化にも役立つ。
・資本の有効活用はソルベンシーマージン比率を改善させるとともにROE・IRRを向上させる。",
166,生保1,9,中問,,,3,⑩(47) 設立後間もない生命保険会社において活用し得る再保険の方式を挙げ、それぞれの仕組みと活用目的について簡潔に説明しなさい。,"① 共同保険式再保険

＜仕組み＞
・再保険割合に応じて、死亡保障だけでなく、満期保障もカバーし、解約返戻金も支払う等、元受会社が獲得した契約の一部を元受会社とまったく同様に維持管理する再保険である。
・再保険料は元受保険料から新契約費を控除した値となり、場合によっては、初年度再保険料はマイナスとなり、再保険料は受け取れず、その上再保険会社が元受会社の事業費超過分を負担するケースもある。

＜活用目的＞
・設立間もない保険会社においては、新契約費の負担の収支への影響が大きいが、共同保険式再保険では保険会社が新契約費を肩代わりしてくれているので、このような財政的圧迫を避けることができる。
・また、再保険料中には、危険保険料部分のほかに貯蓄保険料部分も含まれており、再保険会社独自の資産運用により責任準備金を積み立てることができる。
・それゆえ、設立間もない会社での効率的な資産運用ができない場合に、再保険会社の資産運用力を利用することができる。

② ストップロス再保険

＜仕組み＞
・ある元受契約集団の一定期間、例えば一年間の保険金支払総額ΣSが、保険料収入総額ΣPの一定割合αを超過した場合、再保険会社がその超過分(ΣS－ΣP・α)を再保険として支払う。
・ただし、再保険会社の支払責任額には支払限度が設定されている。

＜活用目的＞
・設立間もない保険会社においては、契約件数が少なく、死亡率が不安定な状態にある。
・ストップロス再保険の活用により、死亡率の変動による保険金の支払額を一定範囲内に止め、保有契約全体の収支を安定させることができる。
・再保険事務が比例式再保険と比べ簡便であり、設立間もない事務処理能力が十分でない保険会社には有用である。

③ 財務再保険

＜仕組み＞
・再保険に付した部分に係るすべてのリスクを移転する代わりに、再保険に付した部分に係る将来利益を出再保険受入手数料として予め収受する再保険である。
・財務再保険の種類は、共同保険式再保険、修正共同保険式再保険が挙げられる。

＜活用目的＞
・財務再保険は、再保険契約から生じる将来の利益を担保とした資産調達的な要素が強い。
・設立間もない保険会社においては、資本基盤が脆弱な状態にあるため、資本力の強化を目的として利用される。",
167,生保1,9,中問,,,3,"⑩(48) A社は設立後間もないが、設立当初から保障性商品の販売が好調であり、特にここ数年急速に保有契約件数を伸ばしている。A社は現在、保有契約について再保険割合(出再割合)80％の共同保険式再保険に出再している。
① 設立後間もない保険会社が共同保険式再保険を行なう目的について、簡潔に説明しなさい。
② 同社は今後の新契約について、再保険割合(出再割合)を50％に下げることを検討している。
再保険割合(出再割合)を下げることのメリット・デメリットについて、簡潔に説明しなさい。","①
・設立間もない保険会社については、新契約費支出が収支に大きい大きな負担を与えるが、共同保険式再保険を用いることにより、初年度に再保険料を超える出再保険受入手数料を受け取る形で新契約費支出を緩和することが可能となる。
・この仕組みを通じて保険契約の収益認識のタイミングは一般的に早まることとなり、早期に黒字転換を図ることができる。
・資本の有効活用を通じてソルベンシーマージン比率をはじめ、ROE・IRRといった収益指標を改善することも期待できる。
・資産運用リスクの面では、設立当初は運用する資産の規模が小さく、効率的な資産運用を行なうことが困難な場合が多いが、共同保険式再保険においては責任準備金の積立も出再先に移転することとなり、再保険会社の資産運用力を活用することが可能となる。

②【メリット】
・契約件数の増加に伴い、ユニットコストの低下を通じて新契約費支出に伴う負担は軽減されていくため、収益認識のタイミングは自然に早期化していく。
・資産規模が一定大きくなれば、運用効率も改善していく。
・このように共同保険式再保険の効用は徐々に薄れていくので、収支・財務の状況をみながら再保険割合を引き下げることは望ましいといえる。
・出再により保険引受に関する収益機会を出再割合分失うこととなるが、定期保険の高い死差益が期待できる場合、商品本来の持つ総合的な収益を享受するために再保険割合の引き下げは有効である。
・再保険割合の引き下げにより再保険のカウンターパーティリスクも軽減される。

【デメリット】
・再保険割合の引き下げにより、その後の新契約における責任準備金の積立負担と対応する資産運用リスクは増加する。全体として、ソルベンシーマージン増加の効果は逓減する一方、保険引受リスクを含めたリスクは増加するため、ソルベンシーマージン比率は低下する。
・再保険割合の見直しにあたっては出再保険受入手数料に係る初年度・次年度以降の事業費の設定について効果的に再保険の目的が達成できるよう、再保険会社との交渉が必要となる。
・共同保険式再保険については、保険金の支払や解約時の返戻金の支払、事業費支出に関して出再割合に応じて元受会社と同じ管理が必要となるので事務管理は煩雑となる。再保険割合を引き下げた場合においても本質的に事務面での煩雑さは残るうえ、契約時期ごとに出再割合を管理する必要が生じるため、効率はさらに悪くなる。",
168,生保1,10,中問,,,4,"⑪(49) 商品毎収益検証における決定論的・確率論的手法に関する次の問に答えなさい
① 「確率論的手法」と「決定論的手法」について、メリット・デメリットを含め簡潔に説明せよ。
② 金利シナリオを設定における決定論的・確率論的手法の選択に関して商品別に説明せよ。","① ＜確率論的手法の概要＞
・非常に多くのシナリオや確率分布を仮定し、その仮定に基づき将来のキャッシュフローを推計する手法。
・財務投資理論を生命保険商品へ応用したもの

＜確率論的手法のメリット＞
・複雑な商品であっても、現在価値の分布・分散を把握することが容易である。
・オプション性を有する商品(変額の最低保証、契約者配当等)に有用である。
・分布の裾野が広い商品に有用である。
・確率による重み付けが可能である。

＜確率論的手法のデメリット＞
・シナリオを用いる手法の場合、計算負荷が大きい。
・シナリオ作成(特に金利シナリオ)が難しい。
・シナリオを保存しておかないと結果の再現ができない、あるいは困難。計算の度に結果が異なり、客観性の担保が困難。
・局外値(異常値)の考慮は難しい。
・解析的に求める手法は適用できる確率分布やモデルが限定される。
・裾部分については、モデルの表現力が低くなっていることも考えられるので、モデルの適合性検証を行なうことが望ましい。
・モデルのキャリブレーションとヴァリデーション、及び結果の解釈に困難が伴う可能性がある。

＜決定論的手法の概要＞
・数本のシナリオにより将来のキャッシュフローを推計する方法。
・シナリオの設定には、通常、最も確からしいシナリオとその周辺のシナリオ及び起こりそうにないシナリオが使用される。

＜決定論的手法のメリット＞
・計算負荷が少なく簡便である。
・再現が容易であり、客観性を担保しやすい。
・局外値(異常値)の影響や、シナリオ間の差を考慮しやすい。

＜決定論的手法のデメリット＞
・シナリオの違いにより計算結果が大きく異なる可能性があり、シナリオが結論に大きな影響を及ぼす。
・現在価値の分布・分散が不明確。確率の重みづけが困難。

② ＜決定論的・確率論的手法の選択＞
・商品特性、金利シナリオの重要性、計算負荷などを考慮して決める必要がある。
・定額の有配当保険では、将来の金利が配当率に影響を与えるので、損益が金利シナリオに対して非対称となることがあり、確率論的なシナリオを設定することが有効と考えられる。
・定額の無配当保険では、金利の変動による損益の変動は対称であると考えられることから、決定論的手法でも十分適切であると考えられる。
・変額年金のような金利シナリオに対してオプション性を持つ商品の収益性を検証するためには、確率的なシナリオを用いてキャッシュフローや損益分布、期待値を求めることが有効であると考えられる。
・将来の金利変動によって予定利率が変動する商品で予定利率を最低保証している場合も、損益が金利シナリオに対して非対称となることがあり、確率論的なシナリオを設定することが有効と考えられる。",
169,生保1,10,中問,,,4,"⑪(50) 商品毎収益検証に関する次の問いに答えなさい。
①商品毎収益検証の目的・必要性について簡潔に説明しなさい。
②商品毎収益検証の結果、収益性や健全性の観点から問題が生じた際に考えられる対応策の例を挙げなさい。","① 商品毎収益検証の目的・必要性

＜目的＞
・商品毎収益検証の目的は、生命保険商品および商品群のキャッシュフローの特性を知ること、個々の生命保険商品の特性が、会社全体の収益性・健全性に与える影響を検証することである。
・そのためには、シナリオの設定、モデルの構築、モデルポイントの選定という3つの手順を経る必要がある。
・これらを通じて、収益性・健全性の感応度分析、特異なシナリオを使ったストレステスト、商品間における収益性・健全性の相互比較を行なうことが必要となる。
・最終的には会社モデルを構築し、各種シナリオが会社全体の収益性・健全性に与える影響を検証することになる。

＜必要性＞
・保険料の計算基礎率に組み込まれた安全割増が将来どのように利益として発生してくるかの検証
・保険料の算式に組み込まれなかったリスク要素およびリスク準備の検証
・責任準備金の健全性の検証
・契約者配当における公正性・衡平性の確認。

② 対応策の例

・保険料計算基礎率の見直しによる保険料率の引き上げ(及び配当率の引き下げ)
・査定基準の厳格化
・募集手数料の引き下げ、事務の効率化による事業費の削減
・給付削減や給付上限の設定・無事故給付金の組込等の給付内容変更の見直しを含む商品改定
・加入金額の制限、加入年齢の制限
・販売チャネルの見直し
・販売停止等の販売戦略の見直し
・ALMマッチングの向上による資産運用リスクの低減
・外部からの資金調達",
170,生保1,10,中問,,,4,"⑪(51) 商品毎収益検証の発生率シナリオの設定に関する以下の問いに答えなさい。
① 発生率の特性、発生率の影響を与える項目につき簡潔に説明しなさい。
② 発生率シナリオの設定に有用なデータにつき簡潔に説明しなさい。","① ＜発生率の特性＞
・危険選択により同質の危険を多数集めることで、大数の法則が働く。
・分布は対称的かつ安定的である。
・死亡率は、長期的に見て改善の傾向にある。
・入院発生率等の発生率は以下の特性を持つ。
　－医療保険の有する危険性は死亡率に比べて発生がより主観的
－経済・社会動向に対してより顕著に反応する
－医療技術の変化・医療費水準の高度化および医療機関の利便性の拡大に影響を受ける
＜発生率に影響を与える項目＞
・商品特性
　一般的に、死亡保険・医療保険等にはモラルリスクが混入する可能性が高く、逆に、年金等の生存保障性商品には健康に不安のない者が多く加入すると思われる。
・危険選択
　一般的には、保険加入時の健康状態の告知や診査等の危険選択によって、保険加入後一定期間の発生率が相対的に低い水準となる。いわゆる選択効果が働く。
・オプション
　定期性商品で更新を扱う場合、更新する契約の被保険者の発生指数は、更新しない契約の被保険者のものよりも一般的に高いと考えられている。定期性商品の更新後の契約まで含めた商品毎収益検証を行なう場合は、このリスクの濃縮についても考慮する必要がある。
・販売チャネル
　一般的に、販売チャネルが異なれば、被保険者集団の属性も異なると考えられる。例えば、営業職員チャネル等の対面販売で募集された被保険者集団は、比較的発生率の低い集団と考えられ、逆に、ダイレクトメール等の非対面販売により募集された集団は、一般的にはモラルリスクが多く混入していると思われるので、比較的発生率の高い集団が形成されると考えられる。
・社会全体の動向
　一般的に、経済不況の時はモラルリスクが混入する可能性が高くなると予想される。
・新商品
　例えば、優良体保険、非喫煙者保険等が販売された場合、自社及び他社の契約者の買い替え行動が予想され、自社既存商品の発生指数が上昇する可能性がある。

② ＜発生率シナリオの設定に有用なデータ＞
・会社の過去の経験値
　会社の過去の経験値は、上述の結果を含んでおり、まずこの分析を第一に行なう必要がある。
・生命保険業界の経験値
　新設会社等で、十分な保有契約・経過年数がなく、自社の経験値を利用しても信頼できる統計値が得られない場合、生命保険業界の経験値を利用することもできる。この場合、商品特性、販売チャネル、査定基準等、会社独自の事情を勘案する必要がある。
・国民生命表・患者調査
　生命保険を契約してからある程度の期間が経過した被保険者の死亡率は、国民生命表の死亡率に近い。ただし、経過期間が浅いところについては、国民生命表よりも低い死亡率を示す傾向にあり、選択効果を考慮する必要がある。入院発生率等の発生率については、患者調査が有用である。
・再保険会社からの情報
　再保険会社は、再保険契約を取り扱うことによって、多くの元受会社の発生率データを蓄積している。これらの情報を元受会社に提供する場合もあり、これを利用することも考えられる。",
171,生保1,10,中問,,,4,⑪(52) 入院給付を行なう医療保険の商品毎収益検証に用いる発生率シナリオ及び死亡率シナリオの設定(ストレスシナリオを含む)について説明しなさい。,"＜発生率シナリオ＞
・年齢群団・性別・経過別の発生実績に基づき通常シナリオを設定することが基本となる。
・実績が十分でない場合、年齢区分等を合計する。類似給付を合計して評価する等が考えられる。
・主契約としての医療保険の実績が少ない場合、同じ給付を持つ医療特約の実績を反映することが考えられる。
・実績が十分でない場合、保険料計算に用いた発生率を基礎とすることも考えられる。
・発生率と入院日数のそれぞれで指数を評価することも考えられるが、その2項目を乗じた率での支払指数での評価の方が実務的に簡便。
・発生指数にトレンドが見られれば、それも通常シナリオに織り込むことか考えられる。
・更にそのトレンドが変化することについて、ストレステストに織り込むことも考えられる。
・ストレステストのストレスは、例えば、第三分野のストレステストで設定されている信頼水準97.7％や99％での過去データからのシナリオ設定が考えられる。
・ストレスシナリオの設定にあたっては、基礎データの不足に伴う不確実性、医療技術の進歩や疾病構造の変化、社会医療政策の影響等を考慮する。

＜死亡率シナリオ＞
・年齢群団・性別・経過別の死亡指数の過去実績を通常シナリオとして設定することが基本となる。
・被保険者の特性が異なる可能性があるため、死亡保険の実績と分離して計算することも考えられる。
・死亡給付を伴わない商品については、死亡率が上昇するよりも低下する場合の方が収益が悪化する可能性がある。この場合、死亡率の改善トレンドも通常シナリオに織り込むことが考えられる。
・ストレスシナリオでは死亡率上昇・低下の両方の影響を見ることも考えられる。",
